Author,Title,State,District,Ban Status,Year,AI_Theme,AI_Theme_Confidence,AI_Theme_Reason
"Tamaki, Mariko",This One Summer,Florida,Escambia County Public Schools,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Tamaki, Mariko",This One Summer,Florida,Marion County Public Schools,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Tamaki, Mariko",This One Summer,Florida,Volusia County Schools,Banned in libraries and classrooms,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Tamaki, Mariko",This One Summer,North Carolina,Cumberland County Schools,Banned in libraries,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Tamaki, Mariko",This One Summer,North Carolina,Pender County Schools,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Tamaki, Mariko",This One Summer,Pennsylvania,Pleasant Valley School District,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Tamaki, Mariko",This One Summer,South Carolina,Beaufort County School District,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Tamaki, Mariko",This One Summer,Texas,Keller Independent School District,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Tamaki, Mariko",This One Summer,Texas,Lake Travis Independent School District,Banned in libraries,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Tamaki, Mariko",This One Summer,Utah,Alpine School District,Banned in libraries,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Tamaki, Mariko",This One Summer,Utah,Granite School District,Banned pending investigation,2022,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Tanigawa, Nagaru",The Melancholy of Haruhi Suzumiya,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Tanigawa, Nagaru",The Sigh of Haruhi Suzumiya,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Taylor, Jazz",Meow or Never,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Taylor, Kenneth Nathaniel",My First Bible in Pictures,Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Religion,medium,Religious identity or belief appears central.
"Taylor, Laini",Daughter of Smoke and Bone,Indiana,Western School Corporation,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Taylor, Laini",Days of Blood and Starlight,Indiana,Western School Corporation,Banned in libraries,2022,Violence / Trauma,high,"Violence, death, abuse, or trauma appears central."
"Taylor, Laini",Dreams of Gods and Monsters,Indiana,Western School Corporation,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Taylor, Laini",Strange the Dreamer,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Taylor, Michael R.",Man Ray: The Paris Years,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Taylor, Mildred D.","Roll of Thunder, Hear My Cry",Florida,The School District of Palm Beach County,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Telgemeier, Raina",Drama: A Graphic Novel,Florida,Clay County School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Telgemeier, Raina",Drama: A Graphic Novel,Florida,Collier County Public Schools,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Telgemeier, Raina",Drama: A Graphic Novel,Florida,Escambia County Public Schools,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Telgemeier, Raina",Drama: A Graphic Novel,Florida,Highlands Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Telgemeier, Raina",Drama: A Graphic Novel,Florida,Marion County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Telgemeier, Raina",Drama: A Graphic Novel,Florida,Martin County Schools,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Telgemeier, Raina",Drama: A Graphic Novel,Florida,Okaloosa County Schools District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Telgemeier, Raina",Drama: A Graphic Novel,Pennsylvania,Pleasant Valley School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Telgemeier, Raina",Drama: A Graphic Novel,Texas,Conroe Independent School District,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Telgemeier, Raina",Drama: A Graphic Novel,Texas,Texarkana Independent School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Testa, Rylan Jay",The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,Pennsylvania,Pleasant Valley School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Tezuka, Osamu",Crime and Punishment: The Graphic Novel,Missouri,Kirkwood School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Thaler, Mike",Mission Trip Impossible,Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
The New York Times Editorial Staff,Transgender Activists and Celebrities,Florida,Marion County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
The New York Times Editorial Staff,Transgender Rights: Striving for Equality,Florida,Marion County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
The Nib,"Be Gay, Do Comics: Queer History, Memoir, and Satire",Missouri,Mehlville School District,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
The Nib,"Be Gay, Do Comics: Queer History, Memoir, and Satire",Missouri,North Kansas City Schools,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
The Nib,"Be Gay, Do Comics: Queer History, Memoir, and Satire",Missouri,Rockwood School District,Banned in libraries and classrooms,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
The Nib,"Be Gay, Do Comics: Queer History, Memoir, and Satire",Missouri,Webster Groves School District,Banned in libraries,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity appears central.
"Thomas, Aiden",Cemetery Boys,Florida,Clay County School District,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Thomas, Aiden",Cemetery Boys,North Carolina,Pender County Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Thomas, Angie",Concrete Rose,Florida,Clay County School District,Banned in libraries and classrooms,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",Concrete Rose,Florida,Escambia County Public Schools,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Florida,Clay County School District,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Florida,Duval County Public Schools,Banned in libraries and classrooms,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Florida,Escambia County Public Schools,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Florida,Highlands Schools,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Florida,Marion County Public Schools,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Florida,Okaloosa County Schools District,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Florida,School District of Hamilton County,Banned in libraries and classrooms,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Florida,School District of Manatee County,Banned in libraries,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Florida,The School District of Palm Beach County,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Missouri,St. Clair R-XIII School District,Banned in libraries and classrooms,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Nebraska,Plattsmouth Community Schools,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,New York,Mahopac Central School District,Banned in libraries,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,North Dakota,Williston Basin School District #7,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Pennsylvania,Pleasant Valley School District,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Angie",The Hate U Give,Texas,Keller Independent School District,Banned pending investigation,2022,Race / Racism,high,"Race, racism, or cultural identity is central."
"Thomas, Mack",God's Best Promises for Kids,Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Religion,medium,Religious identity or belief appears central.
"Thompson, Craig",Blankets,Florida,Clay County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Thompson, Craig",Blankets,Florida,St. John's County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Thompson, Craig",Blankets,Missouri,Independence School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
